LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,HC157.T8 .R56 2001,,,1,Mechanics of independence : patterns of political and economic transformation in Trinidad and Tobago / A.N.R. Robinson ; foreword by Dennis Pantin. 
,HC254.5 .W67 1964,,,5,Capitalism and slavery / Eric Williams; introduction by D.W. Brogan. 
,HC59.7 .G51 2001,,,1,Global economic prospects and the developing countries. 
,HC59.72.P6 .B38 1999,,,1,Persistent poverty : underdevelopment in plantation economies of the Third World / George L. Beckford. 
,HC79.E5 .An2 2004,,,1,Environmental economics : and natural resource management / David A. Anderson. 
,HC79.E5 .T36 2007,,,2,"Environmental economics : applications, policy, and theory, / Janet M. Thomas, Scott J. Callan, "
,HD 30 WIL 1995,,,1,Production and operations management : texts and cases 
,HD 31 DAF 1995,,,11,Understanding management / Richard L. Daft. 
,HD 31 GRI 1996,,,1,Management / Ricky W. Griffin. 
,HD 59.2 IND 1997,,,1,Corporate brand / Nicholas Ind. 
,HD 62.7 .Si7 1997,,,5,Small business management / Nicholas Siropolis. 
,HD 69 .P75 .W99 2000,,,7,"Effective project management / Robert K. Wysocki, Robert Beck, Jr., David B. Crane. "
,HD 6960 BURT 1997,,,6,Labour relations / Frank Burchill. 
,HD1394 .R68 2014 HEC,,,1,"Facility management handbook / Kathy O. Roper, Richard P. Payant. "
,HD30 .3 .C76 2008 DVD ROM,,,2,"Conflict resolution, listening & successful meetings [videorecording]. "
,HD30 OPE 1995,,,1,Operations management / Nigel Slack ... [et al.]. 
,HD30.00 Sa4s 2010,,,2,"Study guide to accompany Managerial economics, 6th edition / William F. Samuelson, Stephen G. Marks. "
,HD30.15 .B56 2005i v. 2,Volume 2,,1,"Blackwell encyclopedia of management. Volume 2, Business ethics / edited by Patricia H. Werhane and R. Edward Freeman. "
,HD30.213 .Oz1 2006,,,6,Management information systems / Effy Oz. 
,HD30.213 .Oz1 2008,,,2,Management information systems / Effy Oz. 
,HD30.213 .R57 1997,,,3,Strategic management and information systems : an integrated approach / Wendy Robson. 
,HD30.22 .D65 1999,,,3,"Managerial economics : firms, markets, and business decisions / Ian M. Dobbs. "
,HD30.22 .Sa4 2010,,,6,"Managerial economics / William F. Samuelson, Stephen G. Marks. "
,HD30.23 .Ad1 2007,,,1,Decision making & problem solving strategies / John Adair. 
,HD30.255 .St8 2010,,,1,"Green workplace : sustainable strategies that benefit employees, the environment, and the bottom line / Leigh Stringer. "
,HD30.26 .Su3 1998,,,4,"Games that teach : experiential activities for reinforcing learning / Steve Sugar ; foreword by Sivasailam ""Thiagi"" Thiagarajan. "
,HD30.28 .Al7 2000,,,1,"From needs assessment to action : transforming needs into solution strategies / James W. Altschuld, Belle Ruth Witkin. "
,HD30.28 .C22 2009,,,1,"Strategic management : a dynamic perspective : concepts and cases / Mason A. Carpenter, Wm. Gerard Sanders. "
,HD30.28 .C67 1997,,,1,Strategic management : theory and practice / G.A. Cole. 
,HD30.28 .C83 1993,,,1,Complete book of business plans : [simple steps to writing a powerful business plan / Joseph A. Covello & Brian J. Hazelgren]. 
,HD30.28 .D28 1999,,,1,Strategic management : concepts & cases / Fred R. David. 
,HD30.28 .D28 2011,,,6,Strategic management : concepts / Fred R. David. 
,HD30.28 .D36 2000,,,1,Strategic thinking : an executive perspective / Cornelis A. de Kluyver. 
,HD30.28 .D98 2001,,,1,"Business strategy for A2 / David Dyer, Peter Stimpson. "
,HD30.28 .F49 2006,,,2,How to write a business plan / Brian Finch. 
,HD30.28 .F49a 2001 HEC,,,2,How to write a business plan / Brian Finch. 
,HD30.28 .G94 2007,,,3,"Entrepreneurship strategy : changing patterns in new venture creation, growth, and reinvention / Lisa K. Gundry, Jill R. Kickul. "
,HD30.28 .J 85 2001,,,1,"Strategic management : a fresh approach to developing skills, knowledge and creativity / Paul Joyce & Adrian Woods. "
,HD30.28 .K14 2004,,,1,"Strategy maps : converting intangible assets into tangible outcomes / Robert S. Kaplan, David P. Norton. "
,HD30.28 .T37 1998,,,7,"Crafting and implementing strategy : text and readings / Arthur A. Thompson, Jr., A.J. Strickland III. "
,HD30.28 .T37 2001,,,2,"Crafting and executing strategy : text and readings / Arthur A. Thompson, Jr., A.J. Strickland III. "
,HD30.28 .T37 2005,,,2,"Crafting and executing strategy : text and readings / Arthur A. Thompson, Jr., A.J. Strickland III, John E. Gamble. "
,HD30.3 .L97 2004,,,1,"Communicating in groups and teams : sharing leadership / Gay Lumsden, Donald Lumsden. "
,HD30.4 .C78 2014 HEC,,,4,"Business research methods / Donald R. Cooper, Florida Atlantic University, Pamela S. Schindler, Wittenberg University. "
,HD30.4 .F32 2001,,,1,Guide to management development techniques : what to use when / Kenneth Fee. 
,HD30.4 .Z6 2003,,,4,Business research methods / William G. Zikmund. 
,HD30.4 HIL 1995,,,1,"Strategic management : an integrated approach / Charles W.L. Hill, Gareth R. Jones. "
,HD30.42.I4 .H29 2009,,,2,Management and entrepreneurship / Veerabhadrappa Havinal. 
,HD30.5 .W92 2009 HEC,,,1,Evolution of management thought / Daniel A. Wren and Arthur G. Bedeian. 
,HD31 . D13 2006,,,103,New era of management / Richard L. Daft. 
,HD31 .B11 2005,,,1,"Study guide [for] Management : meeting and exceeding customer expectations / prepared by Harold C. Babson, Murray S. Brunton. "
,HD31 .B31 1999,,,3,"Management : building competitive advantage / Thomas S. Bateman, Scott A. Snell. "
,HD31 .B31 2002,,,3,"Management : competing in the new era / Thomas S. Bateman, Scott A. Snell. "
,HD31 .C33 2003,,,2,Modern management : adding digital focus / Samuel C. Certo. 
,HD31 .C67 1996,,,3,Management : theory and practice / G.A. Cole. 
,HD31 .D13 2000,,,2,Management / Richard L. Daft. 
,HD31 .D13 2003,,,13,Management / Richard L. Daft. 
,HD31 .D13 2005,,,23,Management / Richard L. Daft. 
,HD31 .D13 2007,,,428,"Management : the new workplace / Richard L. Daft, Dorothy Marcic. "
,HD31 .D13 2008,,,132,"Management : the new workplace / Richard L. Daft, Dorothy Marcic. "
,HD31 .D13 2010,,,37,Management / Richard L. Daft. 
,HD31 .D84 1999,,,1,"Management : an abridged and revised version of Management: tasks, responsibilities, practices / Peter F. Drucker. "
,HD31 .H36 1998,,,1,Essential manager's manual / Robert Heller & Tim Hindle. 
,HD31 .H91 2006,,,1,Being the best you can be : a guide on personal development for managers / Ian Hunt. 
,HD31 .Ol1 1996,,,1,Management / Roger Oldcorn. 
,HD31 .P45 2001,,,2,Mastering management skills / Richard Pettinger. 
,HD31 .P74 2005,,,2,"Management : meeting and exceeding customer expectations / Warren R. Plunkett, Raymond F. Attner, Gemmy S. Allen. "
,HD31 .R53 2005,,,6,"Management / Stephen P. Robbins, Mary Coulter. "
,HD31 BAT 1993,,,1,"Management : function & strategy / Thomas S. Bateman, Carl P. Zeithaml. "
,HD31 CHR 1997,,,1,Economics for business and management / K. Alec Chrystal and Richard G. Kipsey. 
,HD31 DAF 1997,,,7,Management / Richard L. Daft. 
,HD3616.T72 .M85 2008,,,2,Trinidad and Tobago--industrial policy 1959-2008 : a historical and contemporary analysis / Wendell Mottley ; [with a foreword by Charles Rangel]. 
,HD38 FAR 1981,,,2,Managing for success : the Farnsworth formulas / Terry Farnsworth ; illustrated by Ray Jelliffe. 
,HD38.2 .G56 2000 HEC,,,2,Working with emotional intelligence / Daniel Goleman. 
,HD42 .Ar7 1992,,,2,Art of resolving conflicts in the workplace [videorecording] / with Lawrence D. Schwimmer. 
,HD42 .C81 2007,,,3,Conflict management : a practical guide to developing negotiation strategies / Barbara A. Budjac Corvette. 
,HD42 .D35 1985,,,5,Conflicts : a better way to resolve them / Edward de Bono. 
,HD42 .D71 2001,,,5,"Mediation : empowerment in conflict management / Kathy Domenici, Stephen W. Littlejohn. "
,HD42 .G63 2007,,,6,"Conflict survival kit : tools for resolving conflict at work / Cliff Goodwin, Daniel B. Griffith. "
,HD42 .H19 2000,,,2,"Handbook of conflict resolution : theory and practice / Morton Deutsch, Peter T. Coleman, editors. "
,HD42 .M32 2005,,,7,How to reduce workplace conflict and stress : how leaders and their employees can protect their sanity and productivity from tension and turf wars / by Anna Maravelas. 
,HD49 .C15 1999,,,8,Crisis control : preventing & managing corporate crises / Ross Campbell. 
,HD57.7 .Ad1 2007,,,3,Develop your leadership skills / John Adair. 
,HD57.7 .Al5 2004,,,1,Business as war : battling for competitive advantage / by Kenneth All. 
,HD57.7 .B43 1997,,,1,"Learning to lead : a workbook on becoming a leader / Warren Bennis, Joan Goldsmith. "
,HD57.7 .B96 2008 HEC,,,6,"Business leadership : a Jossey-Bass reader / Joan V. Gallos, editor ; foreword by Ronald A. Heifetz. "
,HD57.7 .C38 2001 HEC,,,2,Instant manager : tools and ideas for practical problem solving / Cy Charney. 
,HD57.7 .C57 2012 HEC,,,3,Level three leadership : getting below the surface / James G. Clawson. 
,HD57.7 .G82 2011,,,3,"New entrepreneurial leader : developing leaders who shape social and economic opportunity / Danna Greenberg, Kathleen McKone-Sweet, H. James Wilson, and Babson College Faculty. "
,HD57.7 .K84 1988,,,1,Leadership factor / John P. Kotter. 
,HD57.7 .K84 1993,,,2,"Credibility : how leaders gain and lose it, why people demand it / James M. Kouzes, Barry Z. Posner. "
,HD57.7 .K84 2002 HEC,,,10,Leadership challenge / by James M. Kouzes and Barry Z. Posner. 
,HD57.7 .K84a 1999,,,1,"Leadership challenge planner : an action guide to achieving your personal best / James M. Kouzes, Barry Z. Posner. "
,HD57.7 .L46 1990,,,2,Leadership insights : 15 unique perspectives on effective leadership. 
,HD57.7 .L46 1996,,,2,"Leader of the future : new visions, strategies, and practices for the next era / Frances Hesselbein, Marshall Goldsmith, Richard Beckhard, editors ; foreword by Peter F. Drucker. "
,HD57.7 .L46 1997,,,2,"Leadership : classical, contemporary, and critical approaches / edited by Keith Grint. "
,HD57.7 .L46 2003,,,2,Leadership insights : 15 unique perspectives on effective leadership. 
,HD57.7 .L46 2004,,,1,Leadership in organizations : current issues and key trends / edited by John Storey. 
,HD57.7 .M19 2006,,,2,Practical leadership / Gordon MacKay. 
,HD57.7 .R25 2001 HEC,,,1,Extraordinary leadership : creating strategies for change / Peter J. Reed. 
,HD57.7 .W14 2004,,,4,"18 challenges of leadership : a practical, structured way to develop your leadership talent / Trevor Waldock & Shenaz Kelly-Rawat. "
,HD57.7 .Y9 2013 HEC,,,6,Leadership in organizations / Gary Yukl. 
,HD58.6 .Ol4 2006,,,1,How to negotiate effectively / David Oliver. 
,HD58.7 .B54 2006,,,2,Develop your assertiveness / Sue Bishop. 
,HD58.7 .D84 2000,,,3,Introduction to organizational behaviour / Helga Drummond. 
,HD58.7 .M91 1999,,,13,Management and organisational behaviour / Laurie J. Mullins. 
,HD58.7 .N47 2007,,,26,Organizational behavior : human behavior at work / John W. Newstrom. 
,HD58.7 .R53 2003,,,58,Organizational behavior / Stephen P. Robbins. 
,HD58.7 .R53 2005,,,59,Organizational behavior / Stephen P. Robbins. 
,HD58.7 .R53 2011,,,24,"Organizational behavior / Stephen P. Robbins, Timothy A. Judge. "
,HD58.7 MOO 1992,,,4,"Organizational behavior : managing people and organizations / Gregory Moorhead, Ricky W. Griffin. "
,HD58.7 PFI,,,1,Power in organizations / Jeffrey Pfeffer ; cover design by Kathy Lammerding. 
,HD58.7 So1 2003,,,1,Social psychology of organizational behavior : key readings / edited by Leigh L. Thompson. 
,HD58.8 .An2 2015 HEC,,,2,"Organization development : the process of leading organizational change / Donald L. Anderson, University of Denver. "
,HD58.8 .B23 1994 DVD,,,2,"Managing change [videorecording] / Carol Bartz ; a production of the Stanford Video Media Group ; producer, Paul Marca. "
,HD58.8 .B23 1995 HEC,,,6,Challenge of change in organizations : helping employees thrive in the new frontier / Nancy J. Barger and Linda K. Kirby. 
,HD58.8 .B91 2014 HEC,,,3,"Organization change : theory and practice / W. Warner Burke, Teachers College, Columbia University. "
,HD58.8 .C21 2007,,,25,Managing change in organizations / Colin A. Carnall. 
,HD58.8 .C91 2009,,,13,"Organization development & change / Thomas G. Cummings, Christopher G. Worley. "
,HD58.8 .D13 2010,,,12,Understanding the theory and design of organizations / Richard L. Daft. 
,HD58.8 .D92 2002,,,1,"Organizational change for corporate sustainability : a guide for leaders and change agents of the future / Dexter Dunphy, Andrew Griffiths and Suzanne Benn. "
,HD58.8 .H91 2001,,,4,"Organization development and change / Thomas G. Cummings, Christopher G. Worley. "
,HD58.8 .J15 1997,,,4,Real time strategic change : how to involve an entire organization in fast and far-reaching change / Robert W. Jacobs. 
,HD58.8 .N87 2006,,,1,"NTL handbook of organization development and change : principles, practices, and perspectives / Brenda B. Jones and Michael Brazzel, editors. "
,HD58.8 BEC 1977,,,1,"Organizational transitions : managing complex change / Richard Beckhard, Reuben T. Harris. "
,HD58.82 .D33 1999 HEC,,,1,"500 tips for developing a learning organization / Abby Day, John Peters & Phil Race. "
,HD58.87 .An2 2007 HEC,,,1,Error(12001)
,HD58.9 .H77 2012 HEC,,,1,"Beyond performance management : why, when, and how to use 40 tools and best practices for superior business performance / Jeremy Hope and Steve Player. "
,HD58.9. .F45 1994 HEC,,,1,Fifth discipline fieldbook : strategies and tools for building a learning organization / Peter M. Senge ... [et al.]. 
,HD59 .G86 2010,,,1,Planning and managing public relations campaigns : a strategic approach / Anne Gregory. 
,HD60 .B64 2010,,,2,Social entrepreneurship : what everyone needs to know / David Bornstein and Susan Davis. 
,HD60 .En8 2006,,,1,Entrepreneurship as social change / edited by Chris Steyaert and Daniel Hjorth. 
,HD60 .L84 2010,,,3,Social entrepreneurship : how to start successful corporate social responsibility and community-based initiatives for advocacy and change / Manuel London and Richard G. Morfopoulos. 
,HD60 .P88 2012,,,9,"Social entrepreneurship : theory and practice / Ryszard Praszkier, Andrzej Nowak. "
,HD60.5.U5 .K84 2007,,,1,"Entrepreneur in youth : an untapped resource for economic growth, social entrepreneurship, and education / Marilyn L. Kourilsky, William B. Walstad ; with Andrew Thomas. "
,HD6051.2 .R24 1994,,,6,"Women, labour & politics in Trinidad & Tobago : a history / Rhoda E. Reddock. "
,HD62.15 .C81 1994,,,2,"Cornerstones of quality [videorecording] / produced by Kantola Productions ; Toastmasters International ; producer, Doreen Lorenzo ; director, Donna Goldman ; writers, Rick Kantola, William Amos. "
,HD62.17 .B66 2014 HEC,,,2,"Process improvement handbook : a blueprint for managing change and increasing organizational performance / Tristan Boutros, Tim Purdie ; illustrations by Dustin Duffy. "
,HD62.25 .C26 2007,,,2,Error(12001)
,HD62.25 .F21 2008,,,5,"Family business / edited by Joseph H. Astrachan, Torsten M. Pieper and Peter Jaskiewicz. "
,HD62.25 .H19 2006,,,1,"Handbook of research on family business / edited by Panikkos Zata Poutziouris, Kosmas X. Smyrnios, Sabine B. Klein. "
,HD62.25 .H28 2007,,,2,Error(12001)
,HD62.25 .P87 2010,,,73,Family business / Ernesto J. Poza. 
,HD62.4 .C26 2006,,,3,Cases in the environment of business : international perspectives / David W. Conklin. 
,HD62.4 .G87 1999,,,4,"International business : a managerial perspective / Ricky W. Griffin, Michael W. Pustay. "
,HD62.4 .H24 2000,,,1,"Managing cultural differences / Philip R. Harris, Robert T. Moran. "
,HD62.4 .R84 2000,,,6,"International business : a strategic management approach / Alan M. Rugman, Richard M. Hodgetts. "
,HD62.4 .W63 2005,,,11,"International business : the challenges of globalization / John J. Wild, Kenneth L. Wild, Jerry C.Y. Han. "
,HD62.4 .W64 2012,,,10,"International business : the challenges of globalization / John J. Wild, Kenneth L. Wild. "
,HD62.4 BAL 1993,,,3,"International business : introduction and essentials / Donald A. Ball, Wendell H. McCulloch, Jr. "
,HD62.5 .Ab8 2010,,,5,Successful business plan : secrets & strategies / Rhonda Abrams. 
,HD62.5 .Aw2 2012,,,12,Entrepreneur's information sourcebook : charting the path to small business success / Susan C. Awe. 
,HD62.5 .B73 2009,,,2,Making sense of business : a no-nonsense guide to business skills for managers and entrepreneurs / Alison Branagan. 
,HD62.5 .B83 2010,,,4,Portable MBA in entrepreneurship / edited by William D. Bygrave and Andrew Zacharakis. 
,HD62.5 .B99 2011,,,12,"Entrepreneurship / William D. Bygrave, Andrew Zackarakis. "
,HD62.5 .C24 2002,,,2,Creating the entrepreneurial organization / Roger Cartwright. 
,HD62.5 .C62 2010,,,4,Entrepreneurial opportunity : the right place at the right time / Greg Clydesdale. 
,HD62.5 .C67 2010,,,1,"Best practices in action : guidelines for implementing first-class business incubation programs / by Corinne Colbert, et. al. "
,HD62.5 .R42 2005,,,7,Small business start-up workbook : a step-by-step guide to starting the business you've dreamed of. 
,HD62.6 .D84 1990,,,6,Managing the non-profit organization : practices and principles / Peter F. Drucker ; including interviews with Frances Hesselbein ... [et al.]. 
,HD62.6 .L46 2011 v.1,Volume 1,,2,"Leadership in nonprofit organizations. Volume 1, : a reference handbook / Kathryn A. Agard, editor. "
,HD62.6 .L56 1999,,,3,"High performance nonprofit organizations : managing upstream for greater impact / Christine W. Letts, William P. Ryan, Allen Grossman. "
,HD62.6 .St8 1995,,,2,Strategic planning for not-for-profit organizations / R. Henry Migliore ... [et al.]. 
,HD62.7 .R17 2008,,,1,Working manual for small business / Sun Rassac. 
,HD62.7 .Sca7 2016,,,28,"Essentials of entrepreneurship and small business management / by Norman M. Scarborough, Jeffrey R. Cornwall. "
,HD62.7 .Z6 2002,,,15,"Essentials of entrepreneurship and small business management / Thomas W. Zimmerer, Norman M. Scarborough. "
,HD62.7 .Z6 2005,,,112,"Essentials of entrepreneurship and small business management / Thomas W. Zimmerer, Norman M. Scarborough. "
,HD62.7 .Z6 2010,,,18,Essentials of entrepreneurship and small business management / Norman M. Scarborough with Doug Wilson. 
,HD62.7 SMA 1997,,,1,Small business management : an entrepreneur's guide to success / William L. Megginson ... [et al.]. 
,HD6595.7 .R14 1982,,,6,From chattel slave to wage earner : a history of trade unionism in Trinidad and Tobago / Ron Ramdin. 
,HD6595.7.Z55 .Ob3 1983,,,1,"Introduction to the life and times of T.U.B. Butler, the father of the nation / by Nyahuma Obika. "
,HD66 .D98 2007,,,1,"Team building : proven strategies for improving team performance / William G. Dyer, W. Gibb Dyer, Jeffrey H. Dyer ; foreword by Edgar H. Schein. "
,HD66 .P22 1996,,,1,Team players and teamwork : the new competitive business strategy / Glenn M. Parker. 
,HD69 . T54 .T46 2004,,,2,"Time management [videorecording] : getting control of your life and work / produced by OpusKC, LLC ; distributed by Kantola Productions. "
,HD69.B7 .64 2005,,,1,"Brand sense : build powerful brands through touch, taste, smell, sight, and sound / Martin Lindstrom ; foreword by Philip Kotler. "
,HD69.B7 .Aa4 1996,,,1,Building strong brands / David A. Aaker. 
,HD69.B7 .C42 2006,,,3,Understanding brands / Peter Cheverton. 
,HD69.B7 .H12 2011,,,6,Brand success : how the world's top 100 brands thrive and survive / Matt Haig. 
,HD69.B7 .T24 2010,,,7,Advanced brand management : managing brands in a changing world / Paul Temporal. 
,HD69.B7 .W56 2013,,,5,Designing brand identity : an essential guide for the whole branding team / Alina Wheeler. 
,HD69.C6 .B47 2007,,,2,Business of consulting : the basics and beyond / Elaine Biech ; foreword by Jim Kouzes. 
,HD69.C6 .M31 2004,,,1,"Management consulting today : strategies for a challenging environment / Jean-Paul Thommen, Ansgar Richter (eds.). "
,HD69.C6 .P54 2006,,,2,How to build a successful consulting practice / Jack Phillips. 
,HD69.C6 .T62 2005,,,2,Business consulting : a guide to how it works and how to make it work / Gilbert Toppin and Fiona Czerniawska. 
,HD69.P75 .B56 2000,,,2,Complete idiot's guide to project management with Microsoft Project 2000 / by Ron Black. 
,HD69.P75 .D36 2009,,,1,Project management recipes for success / Guy L. De Furia. 
,HD69.P75 .G36 2012,,,4,"Successful project management / Jack Gido, James P. Clements. "
,HD69.P75 .G75 2006,,,8,"Project management : the managerial process / Clifford F. Gray, Erik W. Larson. "
,HD69.P75 .G94 2000,,,4,Guide to the project management body of knowledge (PMBOK guide). 
,HD69.P75 .G94 2004,,,21,Guide to the project management body of knowledge (PMBOK guide). 
,HD69.P75 .G94 2008,,,40,Guide to the project management body of knowledge (PMBOK guide). 
,HD69.P75 .H36 2007,,,2,Project management : 22 steps to help you master any project / Gary Heerkens. 
,HD69.P75 .K24 2000,,,3,Project management : an international perspective / Ralph Keeling. 
,HD69.P75 .K47 2009,,,8,"Project management : a systems approach to planning, scheduling, and controlling / Harold Kerzner. "
,HD69.P75 .L58 2000,,,2,"Project manager's desk reference : a comprehensive guide to project planning, scheduling, evaluation, and systems / James P. Lewis. "
,HD69.P75 .P93 1997,,,1,Principles of project management : [collected handbooks from the Project Management Institute] / preface by John R. Adams. 
,HD69.P75 .P99 2000,,,2,Sams teach yourself Microsoft Project 2000 in 24 hours / Tim Pyron. 
,HD69.P75 .Q4 2000,,,2,Teach yourself Microsoft Project 2000 / Vickey L. Quinn. 
,HD69.P75 .Sa6 1998,,,1,Managing projects and public enterprises / R. K. Sapru. 
,HD69.P75 .Sch9 2010,,,122,Introduction to project management : with brief guides to Microsoft Project 2007 and @Task / by Kathy Schwalbe. 
,HD69.P75 .W58 2001 HEC,,,1,Leading a software development team : a developer's guide to successfully leading people and projects / Richard Whitehead. 
,HD69.P75 .Y8 1993,,,1,Implementing projects : a manager's guide / Trevor L. Young. 
,HD69.P75 .Y8 2006,,,4,Successful project management / Trevor L Young. 
,HD69.P75 N53 2001,,,2,Project management for business and technology : principles and practice / John M. Nicholas. 
,HD69.T54 .M33 2000,,,2,Make every minute count / Marion E. Haynes. 
,HD69.T54 Am6 1998,,,1,Managing your time : what to do and how to do it in order to do more / Julie-Ann Amos. 
,HD6960.5.C37 .T36 2009,,,8,Industrial relations process and practices : a Caribbean perspective / Ashwell E. Thomas. 
,HD6971 .G82 1994,,,6,Industrial relations : text and case studies / G. D. Green. 
,HD6971 .J13 1991,Dept. copy,,3,Introduction to industrial relations / Michael P. Jackson. 
,HD6971 .J13 1991,,,2,Introduction to industrial relations / Michael P. Jackson. 
,HD6971 .Sa3 1998,,,41,Industrial relations : theory and practice / Michael Salamon. 
,HD6971 .Sa3 2000,,,38,Industrial relations : theory and practice / Michael Salamon. 
,HD7261 .St8 2006,,,6,Manager's guide to health & safety at work / Jeremy Stranks. 
,HD75 .L15 2000,,,1,"Poverty of ""development economics"" / Deepak Lal. "
,HD75.6 .Ec7 2000 HEC,,,1,Economic development and environmental sustainability : policies and principles for a durable equilibrium / edited by Jose I. dos R. Furtado and Tamara Belt with Ramachandra Jammi. 
,HD8246 .B72 1988,,,4,Guide to industrial relations in Trinidad and Tobago / by Jim Brady. 
,HD8246 .K54 1996,,,3,Politics of labour and development in Trinidad / Ray Kiely. 
,HD9000.6 .N42 1996,,,1,New partnerships for sustainable agriculture / overview by Lori Ann Thrupp ; with case study contributors: CARE ... [et. al.] 
,HD9764.G952 S59 1996,,,1,Profit without plunder : reaping revenue from Guyana's tropical forests without destroying them / Nigel Sizer. 
,HD9980.5 .H67 2006,,,28,"Services marketing : concepts, strategies & cases / K. Douglas Hoffman, John E.G. Bateson. "
,HD9980.5 .L94 2011,,,14,"Services marketing : people, technology, strategy / Christopher Lovelock, Jochen Wirtz. "
,HD9980.5 .Se6 2000,,,2,Service management and operations / Cengiz Haksever ... [et al]. 
,HF 5415.2 .M29 2000,,,6,"Marketing research : an applied approach / Naresh Malhotra, David Birks. "
,HF 5415.2.H46 1996,,,1,Successful marketing research : the complete guide to getting and using essential information about your customers and competitors / Edward L. Hester. 
,HF 5636 KIE 1992,,,1,Intermediate accounting 
,HF1017 .T21 2001,,,2,Business statistics : a complete one-semester course / Sonia Taylor. 
,HF1359 .In4 2004,,,4,International economics : European focus / Barbara Ingham 
,HF1359 .K93 2000,,,1,"International economics : theory and policy / Paul R. Krugman, Maurice Obstfeld. "
,HF1379 .Sa3 2010,,,4,Introduction to international economics / Dominick Salvatore. 
,HF1379 .Sa3s 2010,,,3,Study guide to accompany Introduction to international economics / Dominick Salvatore. 
,HF1385 .T34 2000 DVD,,,2,"This is what democracy looks like [videorecording] / the Seattle Independent Media Center ; Big Noise Films ; directed and produced by Jill Freidberg, Rick Rowley. "
,HF1416 .C28 2005,,,6,"International marketing / Philip R. Cateora, John L. Graham. "
,HF1416 .C28 2009,,,7,"International marketing / Philip R. Cateora, Mary C. Gilly, John L. Graham. "
,HF1416 .H72 2011,,,7,Global marketing : a decision-oriented approach / Svend Hollensen. 
,HF1416 .On4 2004,,,2,International marketing : analysis and strategy / Sak Onkvisit and John J. Shaw. 
,HF1495 .C19 2002,,,4,Caribbean survival and the global challenge / edited by Ramesh Ramsaran. 
,HF3312 .T67 1983,,,4,"Trade, government, and society in Caribbean history, 1700-1920 : essays presented to Douglas Hall / edited by B.W. Higman. "
,HF5381 .G99 2003,,,1,"Career counseling : process, issues, and techniques / Norman C. Gysbers, Mary J. Heppner, Joseph A. Johnston. "
,HF5381.2 .P94 1998,,,2,Professional & technical careers : a guide from World Book. 
,HF5382.5.T7 .As7 2004,,,6,Trinidad and Tobago career handbook / The Association of Female Executives of Trinidad and Tobago. 
,HF5382.75.A8 .Su8 1998,,,1,Open the door to your future : getting interviews and jobs in Australia / Kaaren Sutcliffe. 
,HF5383 .M33 1997,,,1,Just Resumes : 200 powerful and proven successful resumes to get that job / Kim Marino. 
,HF5385 .H18 1996,,,1,Mentoring : a practical guide to the skills of mentoring / Reg Hamilton. 
,HF5387 .B96 2001,,,1,Business ethics : critical perspectives on business and management / Volume 1- methodological issues [edited by] Alan Malachowski 
,HF5387 .Et3 2004,,,6,"Ethics, the heart of leadership / edited by Joanne B. Ciulla ; foreword by James MacGregor Burns. "
,HF5387 .R72 2000,,,1,"Rethinking business ethics : a pragmatic approach / Sandra B. Rosenthal, Rogene A. Buchholz. "
,HF5387 .Sh2 2007,,,1,"Moral issues in business / William H. Shaw, Vincent Barry. "
,HF5387 .Sh2 2010,,,5,"Moral issues in business / William H. Shaw, Vincent Barry. "
,HF5387 .V54 2006,,,8,Business ethics : concepts & cases / Manuel G. Velasquez. 
,HF5387 FER 1994,,,3,"Business ethics : ethical decision making and cases / O.C. Ferrell, John Fraedrich. "
,HF5415 .C46 1995,,,2,Marketing : an introductory text / Martin Christopher and Malcom McDonald. 
,HF5415 .K84 1999,,,1,"Principles of marketing. Instructor's resource manual / John R. Brooks, Jr. and Kellye Brooks "
,HF5415 .K84 2001,,,9,"Principles of marketing / Philip Kotler, Gary Armstrong. "
,HF5415 .K84 2004,,,8,"Marketing : an introduction / Gary Armstrong, Philip Kotler. "
,HF5415 .K84 2006,,,17,"Principles of marketing / Philip Kotler, Gary Armstrong. "
,HF5415 .K84 2010,,,167,"Principles of marketing / Philip Kotler, Gary Armstrong. "
,HF5415 .L16 2011,,,4,"MKTG4 : student edition / [Charles W. Lamb, Joseph F. Hair, Carl McDaniel]. "
,HF5415 .St4 2007,,,2,Entrepreneur magazine's ultimate small business marketing guide : 1500 great marketing tricks that will drive your business through the roof / James Stephenson with Courtney Thurman. 
,HF5415 COO 1996,,,1,"Introduction to marketing / Marjorie J. Cooper ; contributing editors, Michael F. d'Amico, Judy Siguaw, William F. Motz. "
,HF5415 KOT 1999,,,1,"Principles of marketing / Philip Kotler, Gary Armstrong. "
,HF5415 MAR 1994,,,1,Marketing : concepts and strategies / Sally Dibb ... [et al.] 
,HF5415.123 .C62 2010,,,43,"Integrated advertising, promotion, and marketing communications / Kenneth E. Clow, Donald Baack. "
,HF5415.123 .G56 1984,,,1,Public relations in the marketing mix : introducing vulnerability relations / Jordan Goldman. 
,HF5415.123 .P58 2004,,,5,"Integrated marketing communications / David Pickton, Amanda Broderick. "
,HF5415.123 .Se8 2003,,,1,Integrated marketing workbook for colleges and universities / Robert A. Sevier. 
,HF5415.123 .Sh6 2010,,,18,"Advertising, promotion, and other aspects of integrated marketing communications / Terence A. Shimp. "
